country,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,lifeExp_1952,lifeExp_1957,lifeExp_1962,lifeExp_1967,lifeExp_1972,lifeExp_1977,lifeExp_1982,lifeExp_1987,lifeExp_1992,lifeExp_1997,lifeExp_2002,lifeExp_2007,pop_1952,pop_1957,pop_1962,pop_1967,pop_1972,pop_1977,pop_1982,pop_1987,pop_1992,pop_1997,pop_2002,pop_2007
El Salvador,3048.3029,3421.523218,3776.8036270000002,4358.595393,4520.246008,5138.922374,4098.344175,4140.442097,4444.2317,5154.825496,5351.568665999999,5728.353514,45.262,48.57,52.306999999999995,55.855,58.207,56.696000000000005,56.604,63.153999999999996,66.798,69.535,70.734,71.878,2042865.0,2355805.0,2747687.0,3232927.0,3790903.0,4282586.0,4474873.0,4842194.0,5274649.0,5783439.0,6353681,6939688
Guatemala,2428.2377690000003,2617.155967,2750.364446,3242.5311469999997,4031.4082710000002,4879.992748,4820.49479,4246.485974,4439.4508399999995,4684.313807,4858.347495,5186.050003,42.023,44.141999999999996,46.95399999999999,50.016000000000005,53.738,56.028999999999996,58.137,60.782,63.373000000000005,66.322,68.97800000000001,70.259,3146381.0,3640876.0,4208858.0,4690773.0,5149581.0,5703430.0,6395630.0,7326406.0,8486949.0,9803875.0,11178650,12572928
Haiti,1840.366939,1726.887882,1796.589032,1452.057666,1654.456946,1874.2989309999998,2011.1595489999997,1823.015995,1456.309517,1341.7269310000001,1270.364932,1201.637154,37.579,40.696,43.59,46.243,48.042,49.923,51.461000000000006,53.636,55.089,56.67100000000001,58.137,60.916000000000004,3201488.0,3507701.0,3880130.0,4318137.0,4698301.0,4908554.0,5198399.0,5756203.0,6326682.0,6913545.0,7607651,8502814
Honduras,2194.926204,2220.487682,2291.1568350000002,2538.269358,2529.842345,3203.208066,3121.7607940000003,3023.0966989999997,3081.694603,3160.454906,3099.72866,3548.3308460000003,41.912,44.665,48.041000000000004,50.924,53.88399999999999,57.402,60.909,64.492,66.399,67.65899999999999,68.565,70.19800000000001,1517453.0,1770390.0,2090162.0,2500689.0,2965146.0,3055235.0,3669448.0,4372203.0,5077347.0,5867957.0,6677328,7483763
Jamaica,2898.5308809999997,4756.525781,5246.107524,6124.703450999999,7433.889293000001,6650.195573,6068.05135,6351.237495,7404.923685,7121.924704000001,6994.774861,7320.880262000001,58.53,62.61,65.61,67.51,69.0,70.11,71.21,71.77,71.766,72.262,72.047,72.567,1426095.0,1535090.0,1665128.0,1861096.0,1997616.0,2156814.0,2298309.0,2326606.0,2378618.0,2531311.0,2664659,2780132
Mexico,3478.125529,4131.546641,4581.609385,5754.733883,6809.406690000001,7674.929108,9611.147541,8688.156003,9472.384295,9767.29753,10742.44053,11977.57496,50.788999999999994,55.19,58.299,60.11,62.361000000000004,65.032,67.405,69.498,71.455,73.67,74.902,76.195,30144317.0,35015548.0,41121485.0,47995559.0,55984294.0,63759976.0,71640904.0,80122492.0,88111030.0,95895146.0,102479927,108700891
Nicaragua,3112.363948,3457.415947,3634.364406,4643.393534000001,4688.593267,5486.371089,3470.3381560000003,2955.984375,2170.151724,2253.023004,2474.548819,2749.320965,42.31399999999999,45.431999999999995,48.632,51.88399999999999,55.151,57.47,59.298,62.008,65.843,68.426,70.836,72.899,1165790.0,1358828.0,1590597.0,1865490.0,2182908.0,2554598.0,2979423.0,3344353.0,4017939.0,4609572.0,5146848,5675356
Panama,2480.380334,2961.800905,3536.540301,4421.009084,5364.2496630000005,5351.912144,7009.601598,7034.779161,6618.74305,7113.692252,7356.031934000001,9809.185636,55.191,59.201,61.817,64.071,66.21600000000001,68.681,70.472,71.523,72.462,73.738,74.712,75.53699999999999,940080.0,1063506.0,1215725.0,1405486.0,1616384.0,1839782.0,2036305.0,2253639.0,2484997.0,2734531.0,2990875,3242173
Paraguay,1952.3087010000002,2046.1547059999998,2148.027146,2299.376311,2523.337977,3248.373311,4258.5036039999995,3998.875695,4196.411078,4247.400261,3783.674243,4172.838464,62.648999999999994,63.196000000000005,64.361,64.95100000000001,65.815,66.35300000000001,66.874,67.378,68.225,69.4,70.755,71.752,1555876.0,1770902.0,2009813.0,2287985.0,2614104.0,2984494.0,3366439.0,3886512.0,4483945.0,5154123.0,5884491,6667147
Peru,3758.523437,4245.256697999999,4957.037982,5788.09333,5937.827283,6281.290854999999,6434.501797,6360.9434439999995,4446.380924,5838.347657,5909.020073,7408.905561,43.902,46.263000000000005,49.096000000000004,51.445,55.448,58.446999999999996,61.406000000000006,64.134,66.458,68.38600000000001,69.906,71.421,8025700.0,9146100.0,10516500.0,12132200.0,13954700.0,15990099.0,18125129.0,20195924.0,22430449.0,24748122.0,26769436,28674757
Trinidad and Tobago,3023.271928,4100.3934,4997.5239710000005,5621.368472,6619.551418999999,7899.554209000001,9119.528607,7388.597823,7370.990932,8792.573126000001,11460.60023,18008.50924,59.1,61.8,64.9,65.4,65.9,68.3,68.832,69.582,69.862,69.465,68.976,69.819,662850.0,764900.0,887498.0,960155.0,975199.0,1039009.0,1116479.0,1191336.0,1183669.0,1138101.0,1101832,1056608
United States,13990.482080000002,14847.12712,16173.145859999999,19530.365569999998,21806.03594,24072.63213,25009.55914,29884.350410000003,32003.93224,35767.43303,39097.09955,42951.65309,68.44,69.49,70.21,70.76,71.34,73.38,74.65,75.02,76.09,76.81,77.31,78.242,157553000.0,171984000.0,186538000.0,198712000.0,209896000.0,220239000.0,232187835.0,242803533.0,256894189.0,272911760.0,287675526,301139947
Uruguay,5716.766744,6150.772969,5603.357717,5444.61962,5703.408898,6504.339663000001,6920.223051000001,7452.398969,8137.004775,9230.240708,7727.002004000001,10611.46299,66.071,67.044,68.253,68.468,68.673,69.48100000000001,70.805,71.918,72.752,74.223,75.307,76.384,2252965.0,2424959.0,2598466.0,2748579.0,2829526.0,2873520.0,2953997.0,3045153.0,3149262.0,3262838.0,3363085,3447496
Venezuela,7689.799761,9802.466526,8422.974165000001,9541.474188,10505.25966,13143.95095,11152.410109999999,9883.584648,10733.926309999999,10165.49518,8605.047831,11415.805690000001,55.088,57.907,60.77,63.479,65.712,67.456,68.557,70.19,71.15,72.146,72.766,73.747,5439568.0,6702668.0,8143375.0,9709552.0,11515649.0,13503563.0,15620766.0,17910182.0,20265563.0,22374398.0,24287670,26084662
